
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
    5996     |    33954    |    87.18    | 7.5545e-01  | 7.6323e-03  |      1      |  1.00e+00   |    0.00     
    5997     |    33960    |    87.20    | 7.5545e-01  | 9.5539e-03  |      2      |  2.00e+00   |    0.00     
    5998     |    33964    |    87.21    | 7.5545e-01  | 1.0801e-02  |      1      |  1.00e+00   |    0.00     
    5999     |    33968    |    87.21    | 7.5545e-01  | 1.9718e-02  |      1      |  1.00e+00   |    0.00     
    6000     |    33972    |    87.22    | 7.5545e-01  | 2.0096e-02  |      1      |  1.00e+00   |    0.00     
    6001     |    33982    |    87.25    | 7.5545e-01  | 1.5750e-02  |      2      |  1.35e-01   |    0.00     
    6002     |    33986    |    87.26    | 7.5545e-01  | 1.3417e-02  |      1      |  1.00e+00   |    0.00     
    6003     |    33990    |    87.27    | 7.5545e-01  | 1.0183e-02  |      1      |  1.00e+00   |    0.00     
    6004     |    33996    |    87.29    | 7.5545e-01  | 1.4824e-02  |      2      |  2.00e+00   |    0.00     
    6005     |    34000    |    87.30    | 7.5545e-01  | 1.6721e-02  |      1      |  1.00e+00   |    0.00     
    6006     |    34010    |    87.33    | 7.5545e-01  | 2.2126e-02  |      2      |  5.07e-01   |    0.00     
    6007     |    34014    |    87.34    | 7.5545e-01  | 1.5030e-02  |      1      |  1.00e+00   |    0.00     
    6008     |    34018    |    87.35    | 7.5545e-01  | 1.0393e-02  |      1      |  1.00e+00   |    0.00     
    6009     |    34022    |    87.36    | 7.5545e-01  | 2.0151e-02  |      1      |  1.00e+00   |    0.00     
    6010     |    34026    |    87.36    | 7.5545e-01  | 3.6411e-02  |      1      |  1.00e+00   |    0.00     
    6011     |    34032    |    87.38    | 7.5545e-01  | 1.3988e-02  |      2      |  2.00e+00   |    0.00     
    6012     |    34036    |    87.39    | 7.5545e-01  | 1.1556e-02  |      1      |  1.00e+00   |    0.00     
    6013     |    34040    |    87.40    | 7.5545e-01  | 1.5302e-02  |      1      |  1.00e+00   |    0.00     
    6014     |    34046    |    87.41    | 7.5545e-01  | 1.6809e-02  |      2      |  2.00e+00   |    0.00     
    6015     |    34050    |    87.42    | 7.5545e-01  | 2.8127e-02  |      1      |  1.00e+00   |    0.00     
    6016     |    34054    |    87.43    | 7.5545e-01  | 8.8427e-03  |      1      |  1.00e+00   |    0.00     
    6017     |    34060    |    87.45    | 7.5545e-01  | 8.5996e-03  |      2      |  2.00e+00   |    0.00     
    6018     |    34066    |    87.46    | 7.5545e-01  | 9.8585e-03  |      2      |  2.00e+00   |    0.00     
    6019     |    34070    |    87.47    | 7.5545e-01  | 1.7003e-02  |      1      |  1.00e+00   |    0.00     
    6020     |    34080    |    87.50    | 7.5545e-01  | 9.1882e-03  |      2      |  5.80e-01   |    0.00     
    6021     |    34084    |    87.51    | 7.5545e-01  | 6.1974e-03  |      1      |  1.00e+00   |    0.00     
    6022     |    34094    |    87.54    | 7.5545e-01  | 3.7690e-02  |      2      |  5.01e-01   |    0.00     
    6023     |    34098    |    87.55    | 7.5545e-01  | 1.6130e-02  |      1      |  1.00e+00   |    0.00     
    6024     |    34102    |    87.56    | 7.5545e-01  | 7.0568e-03  |      1      |  1.00e+00   |    0.00     
    6025     |    34106    |    87.57    | 7.5545e-01  | 5.5361e-03  |      1      |  1.00e+00   |    0.00     
    6026     |    34112    |    87.58    | 7.5545e-01  | 4.3215e-03  |      2      |  2.00e+00   |    0.00     
    6027     |    34118    |    87.60    | 7.5545e-01  | 9.4888e-03  |      2      |  2.00e+00   |    0.00     
    6028     |    34122    |    87.61    | 7.5545e-01  | 7.1098e-03  |      1      |  1.00e+00   |    0.00     
    6029     |    34126    |    87.62    | 7.5545e-01  | 1.9781e-02  |      1      |  1.00e+00   |    0.00     
    6030     |    34130    |    87.63    | 7.5545e-01  | 7.2845e-03  |      1      |  1.00e+00   |    0.00     
    6031     |    34134    |    87.63    | 7.5545e-01  | 8.0224e-03  |      1      |  1.00e+00   |    0.00     
    6032     |    34138    |    87.64    | 7.5545e-01  | 1.3851e-02  |      1      |  1.00e+00   |    0.00     
    6033     |    34148    |    87.68    | 7.5545e-01  | 2.7085e-02  |      2      |  3.30e-01   |    0.00     
    6034     |    34152    |    87.68    | 7.5545e-01  | 1.8783e-02  |      1      |  1.00e+00   |    0.00     
    6035     |    34156    |    87.69    | 7.5545e-01  | 6.9692e-03  |      1      |  1.00e+00   |    0.00     
    6036     |    34160    |    87.70    | 7.5545e-01  | 4.4632e-03  |      1      |  1.00e+00   |    0.00     
    6037     |    34164    |    87.71    | 7.5545e-01  | 4.3090e-03  |      1      |  1.00e+00   |    0.00     
    6038     |    34170    |    87.73    | 7.5545e-01  | 5.0593e-03  |      2      |  2.00e+00   |    0.00     
    6039     |    34180    |    87.76    | 7.5545e-01  | 7.3475e-03  |      2      |  2.86e-01   |    0.00     
    6040     |    34188    |    87.78    | 7.5545e-01  | 1.0008e-02  |      3      |  4.00e+00   |    0.00     
    6041     |    34192    |    87.79    | 7.5545e-01  | 4.3708e-03  |      1      |  1.00e+00   |    0.00     
    6042     |    34196    |    87.80    | 7.5545e-01  | 5.2551e-03  |      1      |  1.00e+00   |    0.00     
    6043     |    34200    |    87.81    | 7.5545e-01  | 1.1970e-02  |      1      |  1.00e+00   |    0.00     
    6044     |    34204    |    87.81    | 7.5545e-01  | 8.6082e-03  |      1      |  1.00e+00   |    0.00     
    6045     |    34208    |    87.82    | 7.5545e-01  | 1.1054e-02  |      1      |  1.00e+00   |    0.00     
    6046     |    34214    |    87.84    | 7.5545e-01  | 2.9882e-03  |      2      |  2.00e+00   |    0.00     
    6047     |    34220    |    87.85    | 7.5545e-01  | 6.9796e-03  |      2      |  2.00e+00   |    0.00     
    6048     |    34226    |    87.87    | 7.5545e-01  | 6.7241e-03  |      2      |  2.00e+00   |    0.00     
    6049     |    34232    |    87.88    | 7.5545e-01  | 7.2324e-03  |      2      |  2.00e+00   |    0.00     
    6050     |    34242    |    87.92    | 7.5545e-01  | 7.1971e-03  |      2      |  6.26e-01   |    0.00     
    6051     |    34246    |    87.93    | 7.5545e-01  | 1.8364e-02  |      1      |  1.00e+00   |    0.00     
    6052     |    34250    |    87.93    | 7.5545e-01  | 1.1122e-02  |      1      |  1.00e+00   |    0.00     
    6053     |    34254    |    87.94    | 7.5545e-01  | 4.3262e-03  |      1      |  1.00e+00   |    0.00     
    6054     |    34258    |    87.95    | 7.5545e-01  | 7.1817e-03  |      1      |  1.00e+00   |    0.00     
    6055     |    34262    |    87.96    | 7.5545e-01  | 7.4395e-03  |      1      |  1.00e+00   |    0.00     
    6056     |    34272    |    87.99    | 7.5545e-01  | 1.6349e-02  |      2      |  2.18e-01   |    0.00     
    6057     |    34278    |    88.01    | 7.5545e-01  | 7.2469e-03  |      2      |  2.00e+00   |    0.00     
    6058     |    34284    |    88.02    | 7.5545e-01  | 9.5063e-03  |      2      |  2.00e+00   |    0.00     
    6059     |    34290    |    88.04    | 7.5545e-01  | 8.2119e-03  |      2      |  2.00e+00   |    0.00     
    6060     |    34298    |    88.06    | 7.5545e-01  | 1.0030e-02  |      3      |  4.00e+00   |    0.00     
    6061     |    34308    |    88.09    | 7.5545e-01  | 1.2034e-02  |      2      |  2.66e-01   |    0.00     
    6062     |    34312    |    88.10    | 7.5545e-01  | 1.0950e-02  |      1      |  1.00e+00   |    0.00     
    6063     |    34320    |    88.12    | 7.5545e-01  | 1.3115e-02  |      3      |  4.00e+00   |    0.00     
    6064     |    34324    |    88.13    | 7.5545e-01  | 5.7380e-03  |      1      |  1.00e+00   |    0.00     
    6065     |    34328    |    88.14    | 7.5545e-01  | 8.1977e-03  |      1      |  1.00e+00   |    0.00     
    6066     |    34338    |    88.17    | 7.5545e-01  | 1.0521e-02  |      2      |  2.52e-01   |    0.00     
    6067     |    34344    |    88.18    | 7.5545e-01  | 7.8282e-03  |      2      |  2.00e+00   |    0.00     
    6068     |    34348    |    88.19    | 7.5545e-01  | 7.1802e-03  |      1      |  1.00e+00   |    0.00     
    6069     |    34352    |    88.20    | 7.5545e-01  | 1.1122e-02  |      1      |  1.00e+00   |    0.00     
    6070     |    34356    |    88.21    | 7.5545e-01  | 6.1474e-03  |      1      |  1.00e+00   |    0.00     
    6071     |    34362    |    88.23    | 7.5545e-01  | 7.7804e-03  |      2      |  2.00e+00   |    0.00     
    6072     |    34368    |    88.24    | 7.5545e-01  | 1.0220e-02  |      2      |  2.00e+00   |    0.00     
    6073     |    34372    |    88.25    | 7.5545e-01  | 7.7875e-03  |      1      |  1.00e+00   |    0.00     
    6074     |    34382    |    88.28    | 7.5545e-01  | 1.7970e-02  |      2      |  2.95e-01   |    0.00     
    6075     |    34388    |    88.30    | 7.5545e-01  | 1.1215e-02  |      2      |  2.00e+00   |    0.00     
    6076     |    34396    |    88.32    | 7.5545e-01  | 9.8781e-03  |      3      |  4.00e+00   |    0.00     
    6077     |    34400    |    88.33    | 7.5545e-01  | 6.0818e-02  |      1      |  1.00e+00   |    0.00     
    6078     |    34404    |    88.33    | 7.5545e-01  | 1.1152e-02  |      1      |  1.00e+00   |    0.00     
    6079     |    34408    |    88.34    | 7.5545e-01  | 1.3174e-02  |      1      |  1.00e+00   |    0.00     
    6080     |    34412    |    88.35    | 7.5545e-01  | 1.1573e-02  |      1      |  1.00e+00   |    0.00     
    6081     |    34418    |    88.37    | 7.5545e-01  | 1.4904e-02  |      2      |  2.00e+00   |    0.00     
    6082     |    34422    |    88.38    | 7.5545e-01  | 1.2623e-02  |      1      |  1.00e+00   |    0.00     
    6083     |    34432    |    88.41    | 7.5545e-01  | 1.0158e-02  |      2      |  6.39e-01   |    0.00     
    6084     |    34436    |    88.42    | 7.5545e-01  | 8.2477e-03  |      1      |  1.00e+00   |    0.00     
    6085     |    34440    |    88.43    | 7.5545e-01  | 4.9761e-03  |      1      |  1.00e+00   |    0.00     
    6086     |    34448    |    88.45    | 7.5545e-01  | 1.4143e-02  |      3      |  4.00e+00   |    0.00     
    6087     |    34452    |    88.46    | 7.5545e-01  | 2.5177e-02  |      1      |  1.00e+00   |    0.00     
    6088     |    34456    |    88.46    | 7.5545e-01  | 8.6518e-03  |      1      |  1.00e+00   |    0.00     
    6089     |    34460    |    88.47    | 7.5545e-01  | 5.0040e-03  |      1      |  1.00e+00   |    0.00     
    6090     |    34464    |    88.48    | 7.5545e-01  | 4.6739e-03  |      1      |  1.00e+00   |    0.00     
    6091     |    34470    |    88.50    | 7.5545e-01  | 8.4663e-03  |      2      |  2.00e+00   |    0.00     
    6092     |    34476    |    88.51    | 7.5545e-01  | 9.2708e-03  |      2      |  2.00e+00   |    0.00     
    6093     |    34480    |    88.52    | 7.5545e-01  | 7.1019e-03  |      1      |  1.00e+00   |    0.00     
    6094     |    34484    |    88.53    | 7.5545e-01  | 1.3198e-02  |      1      |  1.00e+00   |    0.00     
    6095     |    34488    |    88.54    | 7.5545e-01  | 1.4282e-02  |      1      |  1.00e+00   |    0.00     
    6096     |    34498    |    88.57    | 7.5545e-01  | 2.6122e-02  |      2      |  2.76e-01   |    0.00     
    6097     |    34502    |    88.58    | 7.5545e-01  | 1.3855e-02  |      1      |  1.00e+00   |    0.00     
    6098     |    34506    |    88.59    | 7.5545e-01  | 7.7231e-03  |      1      |  1.00e+00   |    0.00     
    6099     |    34510    |    88.60    | 7.5545e-01  | 1.3042e-02  |      1      |  1.00e+00   |    0.00     
    6100     |    34520    |    88.63    | 7.5545e-01  | 1.9601e-02  |      2      |  6.51e-01   |    0.00     
    6101     |    34528    |    88.65    | 7.5545e-01  | 1.6198e-02  |      3      |  4.00e+00   |    0.00     
    6102     |    34532    |    88.66    | 7.5545e-01  | 1.3743e-02  |      1      |  1.00e+00   |    0.00     
    6103     |    34536    |    88.67    | 7.5545e-01  | 9.2672e-03  |      1      |  1.00e+00   |    0.00     
    6104     |    34540    |    88.68    | 7.5545e-01  | 1.1397e-02  |      1      |  1.00e+00   |    0.00     
    6105     |    34544    |    88.69    | 7.5545e-01  | 3.1290e-02  |      1      |  1.00e+00   |    0.00     
    6106     |    34548    |    88.70    | 7.5545e-01  | 1.4440e-02  |      1      |  1.00e+00   |    0.00     
    6107     |    34552    |    88.71    | 7.5545e-01  | 8.3303e-03  |      1      |  1.00e+00   |    0.00     
    6108     |    34558    |    88.72    | 7.5545e-01  | 1.6811e-02  |      2      |  2.00e+00   |    0.00     
    6109     |    34564    |    88.73    | 7.5545e-01  | 1.8083e-02  |      2      |  2.00e+00   |    0.00     
    6110     |    34574    |    88.77    | 7.5545e-01  | 1.0438e-02  |      2      |  1.23e-01   |    0.00     
    6111     |    34578    |    88.78    | 7.5545e-01  | 6.5826e-03  |      1      |  1.00e+00   |    0.00     
    6112     |    34584    |    88.79    | 7.5545e-01  | 1.1308e-02  |      2      |  2.00e+00   |    0.00     
    6113     |    34590    |    88.80    | 7.5545e-01  | 1.1039e-02  |      2      |  2.00e+00   |    0.00     
    6114     |    34594    |    88.81    | 7.5545e-01  | 9.9759e-03  |      1      |  1.00e+00   |    0.00     
    6115     |    34598    |    88.82    | 7.5545e-01  | 8.2777e-03  |      1      |  1.00e+00   |    0.00     
    6116     |    34602    |    88.83    | 7.5545e-01  | 8.0931e-03  |      1      |  1.00e+00   |    0.00     
    6117     |    34606    |    88.84    | 7.5545e-01  | 2.0059e-02  |      1      |  1.00e+00   |    0.00     
    6118     |    34616    |    88.87    | 7.5545e-01  | 8.0445e-03  |      2      |  6.11e-01   |    0.00     
    6119     |    34622    |    88.89    | 7.5545e-01  | 6.6971e-03  |      2      |  2.00e+00   |    0.00     
    6120     |    34626    |    88.90    | 7.5545e-01  | 8.2070e-03  |      1      |  1.00e+00   |    0.00     
    6121     |    34636    |    88.93    | 7.5545e-01  | 1.2634e-02  |      2      |  5.25e-01   |    0.00     
    6122     |    34640    |    88.94    | 7.5545e-01  | 5.2809e-03  |      1      |  1.00e+00   |    0.00     
    6123     |    34652    |    88.97    | 7.5545e-01  | 1.1956e-02  |      5      |  1.60e+01   |    0.00     
    6124     |    34658    |    88.98    | 7.5545e-01  | 7.6547e-03  |      2      |  2.00e+00   |    0.00     
    6125     |    34662    |    88.99    | 7.5545e-01  | 8.1375e-03  |      1      |  1.00e+00   |    0.00     
    6126     |    34666    |    89.00    | 7.5545e-01  | 8.7923e-03  |      1      |  1.00e+00   |    0.00     
    6127     |    34670    |    89.01    | 7.5545e-01  | 2.0314e-02  |      1      |  1.00e+00   |    0.00     
    6128     |    34676    |    89.03    | 7.5545e-01  | 8.0164e-03  |      2      |  2.00e+00   |    0.00     
    6129     |    34680    |    89.04    | 7.5545e-01  | 7.3596e-03  |      1      |  1.00e+00   |    0.00     
    6130     |    34686    |    89.05    | 7.5545e-01  | 7.6888e-03  |      2      |  2.00e+00   |    0.00     
    6131     |    34696    |    89.08    | 7.5545e-01  | 1.5428e-02  |      2      |  2.42e-01   |    0.00     
    6132     |    34702    |    89.10    | 7.5545e-01  | 1.0851e-02  |      2      |  2.00e+00   |    0.00     
    6133     |    34712    |    89.13    | 7.5545e-01  | 5.6441e-03  |      2      |  5.72e-01   |    0.00     
    6134     |    34718    |    89.14    | 7.5545e-01  | 4.9398e-03  |      2      |  2.00e+00   |    0.00     
    6135     |    34722    |    89.15    | 7.5545e-01  | 6.9509e-03  |      1      |  1.00e+00   |    0.00     
    6136     |    34726    |    89.16    | 7.5545e-01  | 3.6808e-03  |      1      |  1.00e+00   |    0.00     
    6137     |    34730    |    89.17    | 7.5545e-01  | 2.9562e-03  |      1      |  1.00e+00   |    0.00     
    6138     |    34734    |    89.18    | 7.5545e-01  | 4.6319e-03  |      1      |  1.00e+00   |    0.00     
    6139     |    34740    |    89.19    | 7.5545e-01  | 8.4044e-03  |      2      |  2.00e+00   |    0.00     
    6140     |    34750    |    89.23    | 7.5545e-01  | 9.9127e-03  |      2      |  4.59e-01   |    0.00     
    6141     |    34754    |    89.23    | 7.5545e-01  | 4.1790e-03  |      1      |  1.00e+00   |    0.00     
    6142     |    34760    |    89.25    | 7.5545e-01  | 5.7605e-03  |      2      |  2.00e+00   |    0.00     
    6143     |    34770    |    89.28    | 7.5545e-01  | 8.0041e-03  |      2      |  4.31e-01   |    0.00     
    6144     |    34776    |    89.30    | 7.5545e-01  | 4.9652e-03  |      2      |  2.00e+00   |    0.00     
    6145     |    34782    |    89.31    | 7.5545e-01  | 5.8804e-03  |      2      |  2.00e+00   |    0.00     
    6146     |    34786    |    89.32    | 7.5545e-01  | 4.8667e-03  |      1      |  1.00e+00   |    0.00     
